class_name          timestamp
truck               2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
motorcycle          2025-05-23 06:16:20
person              2025-05-23 06:16:20
truck               2025-05-23 06:16:20
car                 2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
car                 2025-05-23 06:16:20
truck               2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
truck               2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
motorcycle          2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
car                 2025-05-23 06:16:20
truck               2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
motorcycle          2025-05-23 06:16:20
truck               2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
car                 2025-05-23 06:16:20
truck               2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
truck               2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
person              2025-05-23 06:16:20
car                 2025-05-23 06:16:21
person              2025-05-23 06:16:21
truck               2025-05-23 06:16:21
person              2025-05-23 06:16:21
truck               2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
motorcycle          2025-05-23 06:16:21
person              2025-05-23 06:16:21
car                 2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
truck               2025-05-23 06:16:21
truck               2025-05-23 06:16:21
truck               2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
car                 2025-05-23 06:16:21
truck               2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
truck               2025-05-23 06:16:21
person              2025-05-23 06:16:21
truck               2025-05-23 06:16:21
car                 2025-05-23 06:16:21
truck               2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
truck               2025-05-23 06:16:21
person              2025-05-23 06:16:21
motorcycle          2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
car                 2025-05-23 06:16:21
truck               2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
motorcycle          2025-05-23 06:16:21
person              2025-05-23 06:16:21
person              2025-05-23 06:16:21
car                 2025-05-23 06:16:22
truck               2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
truck               2025-05-23 06:16:22
person              2025-05-23 06:16:22
motorcycle          2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
motorcycle          2025-05-23 06:16:22
car                 2025-05-23 06:16:22
truck               2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
motorcycle          2025-05-23 06:16:22
person              2025-05-23 06:16:22
truck               2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
car                 2025-05-23 06:16:22
truck               2025-05-23 06:16:22
person              2025-05-23 06:16:22
truck               2025-05-23 06:16:22
motorcycle          2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
car                 2025-05-23 06:16:22
truck               2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
truck               2025-05-23 06:16:22
person              2025-05-23 06:16:22
motorcycle          2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
car                 2025-05-23 06:16:22
truck               2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
truck               2025-05-23 06:16:22
person              2025-05-23 06:16:22
motorcycle          2025-05-23 06:16:22
person              2025-05-23 06:16:22
person              2025-05-23 06:16:22
car                 2025-05-23 06:16:23
truck               2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
truck               2025-05-23 06:16:23
motorcycle          2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
car                 2025-05-23 06:16:23
truck               2025-05-23 06:16:23
person              2025-05-23 06:16:23
motorcycle          2025-05-23 06:16:23
person              2025-05-23 06:16:23
truck               2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
car                 2025-05-23 06:16:23
truck               2025-05-23 06:16:23
person              2025-05-23 06:16:23
motorcycle          2025-05-23 06:16:23
person              2025-05-23 06:16:23
truck               2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
car                 2025-05-23 06:16:23
truck               2025-05-23 06:16:23
motorcycle          2025-05-23 06:16:23
person              2025-05-23 06:16:23
truck               2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
person              2025-05-23 06:16:23
car                 2025-05-23 06:16:24
truck               2025-05-23 06:16:24
person              2025-05-23 06:16:24
motorcycle          2025-05-23 06:16:24
person              2025-05-23 06:16:24
truck               2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
car                 2025-05-23 06:16:24
truck               2025-05-23 06:16:24
truck               2025-05-23 06:16:24
motorcycle          2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
car                 2025-05-23 06:16:24
truck               2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
truck               2025-05-23 06:16:24
motorcycle          2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
car                 2025-05-23 06:16:24
truck               2025-05-23 06:16:24
person              2025-05-23 06:16:24
truck               2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
motorcycle          2025-05-23 06:16:24
person              2025-05-23 06:16:24
car                 2025-05-23 06:16:24
truck               2025-05-23 06:16:24
person              2025-05-23 06:16:24
truck               2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
person              2025-05-23 06:16:24
car                 2025-05-23 06:16:25
truck               2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
truck               2025-05-23 06:16:25
person              2025-05-23 06:16:25
motorcycle          2025-05-23 06:16:25
person              2025-05-23 06:16:25
bus                 2025-05-23 06:16:25
car                 2025-05-23 06:16:25
truck               2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
motorcycle          2025-05-23 06:16:25
truck               2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
car                 2025-05-23 06:16:25
truck               2025-05-23 06:16:25
person              2025-05-23 06:16:25
motorcycle          2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
truck               2025-05-23 06:16:25
bus                 2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
car                 2025-05-23 06:16:25
truck               2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
motorcycle          2025-05-23 06:16:25
truck               2025-05-23 06:16:25
person              2025-05-23 06:16:25
bus                 2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
car                 2025-05-23 06:16:25
truck               2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
motorcycle          2025-05-23 06:16:25
truck               2025-05-23 06:16:25
person              2025-05-23 06:16:25
bus                 2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
person              2025-05-23 06:16:25
car                 2025-05-23 06:16:26
truck               2025-05-23 06:16:26
person              2025-05-23 06:16:26
person              2025-05-23 06:16:26
truck               2025-05-23 06:16:26
person              2025-05-23 06:16:26
motorcycle          2025-05-23 06:16:26
person              2025-05-23 06:16:26
bus                 2025-05-23 06:16:26
person              2025-05-23 06:16:26
car                 2025-05-23 06:16:26
truck               2025-05-23 06:16:26
person              2025-05-23 06:16:26
truck               2025-05-23 06:16:26
motorcycle          2025-05-23 06:16:26
person              2025-05-23 06:16:26
person              2025-05-23 06:16:26
person              2025-05-23 06:16:26
person              2025-05-23 06:16:26
car                 2025-05-23 06:16:26
truck               2025-05-23 06:16:26
person              2025-05-23 06:16:26
person              2025-05-23 06:16:26
truck               2025-05-23 06:16:26
person              2025-05-23 06:16:26
person              2025-05-23 06:16:26
person              2025-05-23 06:16:26
motorcycle          2025-05-23 06:16:26
bus                 2025-05-23 06:16:26
person              2025-05-23 06:16:26
car                 2025-05-23 06:16:26
truck               2025-05-23 06:16:26
motorcycle          2025-05-23 06:16:26
person              2025-05-23 06:16:26
truck               2025-05-23 06:16:26
person              2025-05-23 06:16:26
person              2025-05-23 06:16:26
car                 2025-05-23 06:16:27
truck               2025-05-23 06:16:27
person              2025-05-23 06:16:27
truck               2025-05-23 06:16:27
person              2025-05-23 06:16:27
motorcycle          2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
bus                 2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
car                 2025-05-23 06:16:27
truck               2025-05-23 06:16:27
person              2025-05-23 06:16:27
truck               2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
motorcycle          2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
bus                 2025-05-23 06:16:27
car                 2025-05-23 06:16:27
truck               2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
motorcycle          2025-05-23 06:16:27
bus                 2025-05-23 06:16:27
truck               2025-05-23 06:16:27
truck               2025-05-23 06:16:27
car                 2025-05-23 06:16:27
person              2025-05-23 06:16:27
truck               2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
motorcycle          2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
bus                 2025-05-23 06:16:27
person              2025-05-23 06:16:27
car                 2025-05-23 06:16:27
truck               2025-05-23 06:16:27
person              2025-05-23 06:16:27
truck               2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
person              2025-05-23 06:16:27
car                 2025-05-23 06:16:28
truck               2025-05-23 06:16:28
truck               2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
motorcycle          2025-05-23 06:16:28
car                 2025-05-23 06:16:28
truck               2025-05-23 06:16:28
truck               2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
car                 2025-05-23 06:16:28
truck               2025-05-23 06:16:28
truck               2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
car                 2025-05-23 06:16:28
truck               2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
truck               2025-05-23 06:16:28
bus                 2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
person              2025-05-23 06:16:28
car                 2025-05-23 06:16:29
truck               2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
truck               2025-05-23 06:16:29
person              2025-05-23 06:16:29
bus                 2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
car                 2025-05-23 06:16:29
person              2025-05-23 06:16:29
truck               2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
truck               2025-05-23 06:16:29
person              2025-05-23 06:16:29
bus                 2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
car                 2025-05-23 06:16:29
person              2025-05-23 06:16:29
truck               2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
bus                 2025-05-23 06:16:29
truck               2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
person              2025-05-23 06:16:29
truck               2025-05-23 06:16:29
